White,Black,WhiteElo,BlackElo,Result,TimeControl,ECO,PlyCount,Date
konozrout,rugs,2044,1725,1-0,300+0,A41,63,2025.05.30
rvs,dominospizza,1575,1702,0-1,180+0,B00,116,2025.05.30
ErrareHumanumEst,Anmelus,1792,1755,0-1,60+0,B07,100,2025.05.30
GeorgeCool,ervenperlasangler,1668,1649,1-0,180+0,B30,61,2025.05.30
elrukapillan,PinkFloydWall,1455,1582,0-1,180+0,D02,108,2025.05.30
LWRoad,DELAVINANDIOR,1432,1533,0-1,300+5,D02,74,2025.05.30
ChequeMade,Oak,1632,1604,1-0,180+0,C23,71,2025.05.30
venazvz,kamenozrout,1746,1980,0-1,300+0,B30,62,2025.05.30
ervenperlasangler,GeorgeCool,1657,1660,0-1,180+0,C44,44,2025.05.30
Pakpawn,PinkFloydWall,1477,1576,0-1,180+0,C44,98,2025.05.30
rugs,CeruleanJS,1728,1950,0-1,300+0,A40,30,2025.05.30
rusalka,talkinfool,1279,1243,0-1,120+12,C26,68,2025.05.30
LuigiBot,KINGJarthur,1687,1638,0-1,900+0,C00,72,2025.05.30
kamenozrout,venazvz,1977,1749,1-0,300+0,B85,45,2025.05.30
Oak,ChequeMade,1612,1624,0-1,180+0,C23,80,2025.05.30
tacneno,Nenegomez,1286,1271,1-0,300+5,E82,69,2025.05.30
Zelp,ervenperlasangler,1918,1660,1-0,300+0,A01,69,2025.05.30
AnEndGame,mosaicdancer,1747,1890,0-1,900+0,A00,62,2025.05.30
venazvz,scalaQueen,1755,1845,0-1,180+0,C50,74,2025.05.30
KINGJarthur,LuigiBot,1645,1680,0-1,900+0,A00,128,2025.05.30
PinkFloydWall,LSQUARED,1567,1597,1-0,180+0,B20,68,2025.05.30
ChequeMade,Oak,1616,1620,1-0,180+0,C23,81,2025.05.30
Pakpawn,Thabibombs,1486,1456,0-1,180+0,C00,52,2025.05.30
ShallowPurple,LWRoad,1654,1436,1-0,300+0,A40,57,2025.05.30
ervenperlasangler,Zelp,1663,1915,0-1,300+0,B02,124,2025.05.30
GeorgeCool,PinkFloydWall,1654,1573,1-0,180+0,C26,31,2025.05.30
patriotscout,elrukapillan,1563,1461,1-0,180+0,B50,85,2025.05.30
scalaQueen,venazvz,1855,1745,0-1,180+0,D35,128,2025.05.30
Oak,ChequeMade,1612,1624,1-0,180+0,C20,39,2025.05.30
leevorotation,pertinent,1991,1865,1-0,900+0,C41,115,2025.05.30
txbeda,dominospizza,1917,1706,1-0,180+0,C33,57,2025.05.30
RookNRoll,hastrman,1467,1661,1-0,120+12,D00,79,2025.05.30
roderick,forqueray,1397,1177,1-0,180+0,A21,85,2025.05.30
Thabibombs,Pakpawn,1447,1495,1-0,180+0,A00,65,2025.05.30
PinkFloydWall,GeorgeCool,1579,1648,0-1,180+0,C23,82,2025.05.30
JoseDario,rusalka,793,1278,0-1,120+12,B02,40,2025.05.30
ChequeMade,Oak,1633,1603,0-1,180+0,C23,118,2025.05.30
rugs,konozrout,1730,2042,0-1,300+0,D00,78,2025.05.30
LuigiBot,KINGJarthur,1672,1653,1-0,900+0,B00,75,2025.05.30
igor,chesspickle,1621,2093,0-1,300+0,B01,50,2025.05.30
dominospizza,txbeda,1710,1913,0-1,180+0,A00,128,2025.05.30
venazvz,scalaQueen,1751,1849,0-1,180+0,C50,80,2025.05.30
ShallowPurple,tacneno,1652,1288,1-0,600+0,A40,1,2025.05.30
tacneno,DELAVINANDIOR,1291,1530,0-1,300+5,B32,38,2025.05.30
Pakpawn,BBright,1501,1595,0-1,240+0,C10,90,2025.05.30
GeorgeCool,PinkFloydWall,1641,1586,1-0,180+0,C26,71,2025.05.30
LWRoad,defensamaya,1426,1538,1-0,180+0,A00,65,2025.05.30
svevid,rekkpop,1537,1579,1-0,300+0,D35,85,2025.05.30
FreeMind,ShallowPurple,1957,1654,1-0,600+0,C50,95,2025.05.30
Oak,ChequeMade,1594,1642,1-0,180+0,C23,62,2025.05.30
Zelp,ErrareHumanumEst,1882,1782,0-1,60+0,A01,112,2025.05.30
konozrout,rugs,2040,1732,1-0,300+0,C21,41,2025.05.30
rusalka,JoseDario,1277,798,1-0,120+12,B01,31,2025.05.30
txbeda,ervenperlasangler,1926,1650,0-1,180+0,B30,48,2025.05.30
scalaQueen,venazvz,1843,1757,1-0,180+0,C41,75,2025.05.30
DELAVINANDIOR,tacneno,1527,1294,1-0,300+5,B40,115,2025.05.30
Sirena,BDelaney,1508,1639,0-1,180+0,A13,100,2025.05.30
ChequeMade,Oak,1652,1584,0-1,180+0,C23,78,2025.05.30
PinkFloydWall,elrukapillan,1581,1466,1-0,180+0,B20,59,2025.05.30
defensamaya,LWRoad,1532,1432,1-0,180+0,A00,67,2025.05.30
BlackDemon,Knightsmasher,2844,2362,1-0,300+0,C54,89,2025.05.30
forqueray,roderick,1181,1393,0-1,180+0,C41,66,2025.05.30
BBright,Pakpawn,1589,1507,1-0,240+0,A45,51,2025.05.30
rugs,konozrout,1734,2038,0-1,300+0,D00,42,2025.05.30
pertinent,leevorotation,1862,1998,1/2-1/2,900+0,C42,140,2025.05.30
episodeninetynine,DonTBeadick,1145,1355,0-1,120+5,D00,36,2025.05.30
ervenperlasangler,PinkFloydWall,1643,1588,1-0,180+0,C44,93,2025.05.30
ErrareHumanumEst,GeorgeCool,1838,1645,1-0,180+0,C62,151,2025.05.30
Oak,ChequeMade,1574,1662,1-0,180+0,C31,91,2025.05.30
venazvz,scalaQueen,1763,1837,0-1,180+0,C41,106,2025.05.30
TRDSupra,impress,1573,1677,0-1,300+0,D30,96,2025.05.30
Pakpawn,BBright,1497,1599,1-0,240+0,C00,41,2025.05.30
konozrout,rugs,2052,1720,0-1,300+0,C41,28,2025.05.30
defensamaya,Zoomy,1539,1565,0-1,180+0,A00,66,2025.05.30
rugs,konozrout,1722,2050,0-1,300+0,A45,64,2025.05.30
BBright,Pakpawn,1593,1503,1-0,240+0,D00,65,2025.05.30
Wildguy,igor,1643,1612,0-1,300+0,C41,46,2025.05.30
GeorgeCool,ErrareHumanumEst,1649,1834,0-1,180+0,C50,68,2025.05.30
CeruleanJS,RookNRoll,1949,1468,1-0,300+0,B21,71,2025.05.30
ChequeMade,Oak,1656,1580,1-0,180+0,C23,71,2025.05.30
scalaQueen,ChessAttack,1833,1612,1-0,180+0,C30,69,2025.05.30
rekkpop,johnmar,1586,1613,0-1,300+0,D12,64,2025.05.30
forqueray,FIRECAPTAIN,1183,1492,0-1,180+0,C50,62,2025.05.30
PinkFloydWall,Sirena,1582,1514,1-0,180+0,B20,73,2025.05.30
Zoomy,Zelp,1567,1913,0-1,180+0,B02,92,2025.05.30
Pakpawn,BBright,1509,1587,0-1,240+0,C00,36,2025.05.30
Oak,ChequeMade,1587,1649,0-1,180+0,C31,88,2025.05.30
konozrout,rugs,2064,1708,0-1,300+0,C41,26,2025.05.30
eddiethurman,episodeninetynine,1322,1149,1-0,120+5,C50,27,2025.05.30
impress,TRDSupra,1688,1562,0-1,300+0,D00,78,2025.05.30
ErrareHumanumEst,GeorgeCool,1830,1653,1-0,180+0,C68,23,2025.05.30
johnmar,rekkpop,1622,1577,0-1,300+0,B17,36,2025.05.30
dominospizza,Pakpawn,1706,1513,1-0,180+0,A00,61,2025.05.30
rugs,konozrout,1710,2062,0-1,300+0,D00,80,2025.05.30
FIRECAPTAIN,Patatin,1488,1283,1-0,300+0,A45,53,2025.05.30
ChessAttack,scalaQueen,1616,1829,0-1,180+0,C44,74,2025.05.30
forqueray,ErrareHumanumEst,1183,1830,0-1,180+0,C57,22,2025.05.30
episodeninetynine,eddiethurman,1154,1317,0-1,120+5,A45,66,2025.05.30
RookNRoll,DELAVINANDIOR,1475,1520,0-1,300+5,D00,50,2025.05.30
Zelp,Zoomy,1911,1569,1-0,180+0,A01,51,2025.05.30
Koosals,pertinent,1907,1869,1-0,900+0,D02,91,2025.05.30
