White,Black,WhiteElo,BlackElo,Result,TimeControl,ECO,PlyCount,Date
Abulhawl,PinkFloydWall,1467,1593,1-0,180+0,C50,55,2025.05.30
rekkpop,BBright,1585,1579,0-1,300+0,D30,100,2025.05.30
ChequeMade,Oak,1650,1586,1/2-1/2,180+0,C23,130,2025.05.30
Zoomy,Zelp,1555,1925,1-0,180+0,D05,97,2025.05.30
ErrareHumanumEst,LSQUARED,1827,1600,1-0,180+0,B22,113,2025.05.30
TRDSupra,impress,1551,1699,1-0,300+0,D10,127,2025.05.30
Pakpawn,dominospizza,1517,1702,0-1,180+0,B00,72,2025.05.30
PinkFloydWall,Abulhawl,1588,1472,1-0,180+0,C24,29,2025.05.30
brunftbert,igor,1568,1605,0-1,300+0,A13,76,2025.05.30
eddiethurman,forqueray,1312,1188,1-0,180+0,C50,61,2025.05.30
Oak,ChequeMade,1593,1643,0-1,180+0,C31,88,2025.05.30
Sirena,Zoomy,1521,1548,0-1,180+0,A35,62,2025.05.30
RookNRoll,hejkal,1467,1457,1-0,120+12,D00,81,2025.05.30
johnmar,Wildguy,1621,1644,1/2-1/2,300+0,C55,75,2025.05.30
Zelp,Pakpawn,1881,1380,1-0,60+0,A01,37,2025.05.30
hastrman,FreeMind,1664,1954,0-1,120+12,B10,202,2025.05.30
Mariorichard,mayan,1626,1675,1-0,900+0,B01,45,2025.05.30
leevorotation,Vikesha,2028,1841,0-1,180+0,C17,52,2025.05.30
defensamaya,samdomagala,1548,1496,0-1,180+0,A00,64,2025.05.30
Pakpawn,Zelp,1381,1880,0-1,60+0,B02,18,2025.05.30
Zoomy,forqueray,1562,1174,0-1,180+0,C45,88,2025.05.30
impress,TRDSupra,1694,1556,1-0,300+0,D00,81,2025.05.30
Zelp,Axerx,1918,1861,1-0,180+0,A01,37,2025.05.30
dominospizza,ChessAttack,1696,1622,1-0,180+0,A40,121,2025.05.30
RealHuman,rvs,1624,1582,1-0,180+0,B03,51,2025.05.30
ChequeMade,Oak,1644,1592,1/2-1/2,180+0,C23,111,2025.05.30
pseudoaluno,juldub,1232,882,1-0,300+0,C50,61,2025.05.30
samdomagala,defensamaya,1486,1558,1-0,180+0,B07,78,2025.05.30
Axerx,leevorotation,1866,2023,0-1,180+0,A07,92,2025.05.30
GeorgeCool,Zoomy,1647,1568,1-0,180+0,C47,117,2025.05.30
Sirena,Zelp,1523,1916,0-1,180+0,D31,46,2025.05.30
rvs,RealHuman,1589,1617,0-1,180+0,C50,77,2025.05.30
DELAVINANDIOR,AnEndGame,1532,1361,0-1,300+5,B00,62,2025.05.30
igor,brunftbert,1598,1575,1-0,300+0,B01,43,2025.05.30
ChessAttack,dominospizza,1629,1689,0-1,180+0,B00,126,2025.05.30
defensamaya,samdomagala,1568,1476,0-1,180+0,A00,60,2025.05.30
Oak,ChequeMade,1599,1637,0-1,180+0,C36,88,2025.05.30
forqueray,Axerx,1174,1866,0-1,180+0,B30,42,2025.05.30
TRDSupra,RookNRoll,1550,1473,1-0,300+0,D22,57,2025.05.30
brunftbert,igor,1566,1607,1-0,300+0,A09,71,2025.05.30
BBright,rekkpop,1570,1594,1-0,300+0,D00,41,2025.05.30
mayan,Mariorichard,1668,1633,1-0,900+0,A09,49,2025.05.30
Zoomy,GeorgeCool,1574,1641,0-1,180+0,C45,88,2025.05.30
dominospizza,ChessAttack,1682,1636,1-0,180+0,A00,61,2025.05.30
MiloBot,juldub,1064,1135,0-1,900+0,D02,62,2025.05.30
PinkFloydWall,defensamaya,1597,1559,0-1,180+0,B07,62,2025.05.30
ChequeMade,Oak,1646,1590,0-1,180+0,C23,42,2025.05.30
KnightMeKing,Koosals,2003,1897,0-1,900+0,A02,90,2025.05.30
DonTBeadick,Axerx,1356,1865,0-1,180+0,B20,60,2025.05.30
GeorgeCool,Zoomy,1634,1581,1-0,180+0,C55,29,2025.05.30
Oak,defensamaya,1591,1558,1/2-1/2,180+0,B07,84,2025.05.30
ChequeMade,PinkFloydWall,1656,1587,0-1,180+0,C23,80,2025.05.30
rekkpop,johnmar,1593,1622,1/2-1/2,300+0,D12,80,2025.05.30
Zoomy,GeorgeCool,1571,1644,1-0,180+0,C45,123,2025.05.30
RookNRoll,antvrs,1463,1530,1-0,240+12,D00,85,2025.05.30
ErrareHumanumEst,Centerman,1822,1690,1-0,180+0,B22,115,2025.05.30
meroramadan,stewarty,1892,1872,1-0,1200+0,D10,89,2025.05.30
Axerx,krell,1861,1678,1-0,180+0,B15,73,2025.05.30
burlon,agrfor,1690,1743,0-1,900+0,C34,106,2025.05.30
drumme,Mancopro,1281,1453,1-0,300+0,B20,87,2025.05.30
PinkFloydWall,BudFive,1587,1606,1/2-1/2,180+0,C50,137,2025.05.30
Oak,patriotscout,1583,1571,1-0,180+0,B00,69,2025.05.30
claytondfour,ChequeMade,1619,1649,0-1,180+0,C11,92,2025.05.30
Aromas,surrealmadrid,2029,1662,1-0,900+0,C41,59,2025.05.30
defensamaya,Zoomy,1549,1580,1-0,180+0,A00,77,2025.05.30
GeorgeCool,kobasa,1639,1503,1-0,180+0,B07,85,2025.05.30
samdomagala,ErrareHumanumEst,1478,1820,0-1,180+0,C20,78,2025.05.30
DonTBeadick,Oak,1360,1579,0-1,180+0,C24,72,2025.05.30
ChequeMade,claytondfour,1658,1610,0-1,180+0,B01,84,2025.05.30
KINGJarthur,LuigiBot,1661,1664,0-1,900+0,A00,0,2025.05.30
LuigiBot,KINGJarthur,1656,1669,1-0,900+0,C00,41,2025.05.30
patriotscout,adcool,1583,1360,0-1,180+0,C65,64,2025.05.30
krell,Axerx,1666,1873,1-0,180+0,A56,75,2025.05.30
defensamaya,PinkFloydWall,1556,1580,0-1,180+0,A00,58,2025.05.30
KINGJarthur,LuigiBot,1678,1647,0-1,900+0,A00,68,2025.05.30
GeorgeCool,brunftbert,1632,1573,1-0,300+0,B01,67,2025.05.30
ShallowPurple,Algwynn,1651,1405,1-0,300+0,A00,31,2025.05.30
kobasa,Caarreeyy,1512,1447,0-1,300+0,A39,62,2025.05.30
ErrareHumanumEst,MCCapitan,1817,1583,1-0,180+0,C41,105,2025.05.30
ytunde,ChequeMade,1700,1649,0-1,300+0,D37,76,2025.05.30
claytondfour,PinkFloydWall,1602,1588,1-0,180+0,D00,81,2025.05.30
JeffreyWebb,rusalka,1779,1278,1-0,300+1,A46,125,2025.05.30
Ascencion,highjump,1241,1444,0-1,600+0,B13,28,2025.05.30
Algwynn,ShallowPurple,1408,1648,0-1,300+0,B50,54,2025.05.30
LuigiBot,KINGJarthur,1638,1687,1-0,900+0,C00,169,2025.05.30
Axerx,ricardotassinari,1871,1517,1-0,180+0,A07,77,2025.05.30
highjump,Ascencion,1457,1213,0-1,600+0,D00,92,2025.05.30
brunftbert,baalzebul,1567,1473,1-0,300+0,A15,37,2025.05.30
Patrizia,hastrman,1552,1658,0-1,180+5,B40,28,2025.05.30
admnoite,GeorgeCool,1606,1641,1-0,300+0,A45,95,2025.05.30
drumme,DonTBeadick,1287,1354,0-1,300+0,C50,64,2025.05.30
claytondfour,ytunde,1608,1694,0-1,180+0,A45,60,2025.05.30
ChequeMade,TacticianPro,1652,1515,1/2-1/2,180+0,C23,113,2025.05.30
DELAVINANDIOR,RookNRoll,1542,1453,0-1,300+5,B20,64,2025.05.30
Koosals,KnightMeKing,1903,1997,0-1,900+0,A80,52,2025.05.30
baalzebul,brunftbert,1471,1569,1/2-1/2,300+0,A10,111,2025.05.30
ricardotassinari,ErrareHumanumEst,1519,1815,0-1,180+0,C28,96,2025.05.30
Caarreeyy,kobasa,1454,1505,0-1,300+0,A41,58,2025.05.30
inemuri,JeffreyWebb,1287,1778,0-1,300+0,A04,28,2025.05.30
JeffreyWebb,inemuri,1777,1288,1-0,300+0,A40,23,2025.05.30
inemuri,JeffreyWebb,1289,1776,0-1,300+0,A04,28,2025.05.30
JeffreyWebb,inemuri,1775,1290,1-0,300+0,A40,23,2025.05.30
scalaQueen,Barleneister,1842,1494,1-0,900+0,B00,77,2025.05.30
inemuri,JeffreyWebb,1291,1774,0-1,300+0,A04,28,2025.05.30
JeffreyWebb,inemuri,1773,1292,1-0,300+0,A40,23,2025.05.30
Zelp,ChequeMade,1913,1655,1-0,180+0,A01,21,2025.05.30
inemuri,JeffreyWebb,1293,1772,0-1,300+0,A04,28,2025.05.30
ytunde,krell,1703,1657,0-1,180+0,A40,80,2025.05.30
JeffreyWebb,inemuri,1771,1294,1-0,300+0,A40,23,2025.05.30
ChequeMade,Zelp,1658,1910,0-1,180+0,C26,72,2025.05.30
tacneno,Aromas,1706,2043,1-0,900+0,B59,85,2025.05.30
KINGJarthur,LuigiBot,1680,1645,1-0,900+0,A00,61,2025.05.30
inemuri,JeffreyWebb,1295,1770,0-1,300+0,A04,28,2025.05.30
NADIMMM,surrealmadrid,1450,1658,0-1,1200+0,C20,5,2025.05.30
JeffreyWebb,inemuri,1769,1296,1-0,300+0,A40,23,2025.05.30
Oak,admnoite,1587,1598,0-1,180+0,C33,62,2025.05.30
billig,samdomagala,1636,1483,1-0,180+0,C30,35,2025.05.30
rusalka,JeffreyWebb,1263,1784,1-0,300+0,B01,167,2025.05.30
brunftbert,baalzebul,1580,1460,0-1,300+0,A15,66,2025.05.30
Ascencion,highjump,1221,1454,0-1,600+0,B01,50,2025.05.30
LuigiBot,KINGJarthur,1636,1689,1-0,900+0,C00,55,2025.05.30
samdomagala,forqueray,1481,1176,1-0,180+0,C20,55,2025.05.30
ErrareHumanumEst,IjonTichy,1778,1584,1-0,60+0,C41,63,2025.05.30
kobasa,Caarreeyy,1515,1444,0-1,300+0,A04,44,2025.05.30
ChequeMade,JoeO,1666,1687,0-1,180+0,C00,60,2025.05.30
LWRoad,ShallowPurple,1436,1644,0-1,300+0,A05,68,2025.05.30
KINGJarthur,LuigiBot,1682,1643,1-0,900+0,A00,131,2025.05.30
gtboyyy,ytunde,1798,1693,0-1,180+0,A36,28,2025.05.30
admnoite,Oak,1590,1595,1-0,180+0,D00,65,2025.05.30
IjonTichy,ErrareHumanumEst,1588,1774,0-1,60+0,C65,54,2025.05.30
gtboyyy,krell,1810,1645,0-1,180+0,A36,36,2025.05.30
highjump,Ascencion,1450,1229,1-0,600+0,D00,37,2025.05.30
urug,claytondfour,1634,1616,1-0,180+0,C00,81,2025.05.30
ErrareHumanumEst,IjonTichy,1770,1592,1-0,60+0,C21,57,2025.05.30
RookNRoll,DELAVINANDIOR,1459,1536,0-1,300+5,D00,52,2025.05.30
HBtime,VictoriaBot,2147,1890,1-0,900+0,A00,105,2025.05.30
krell,gtboyyy,1650,1805,0-1,180+0,A41,112,2025.05.30
JoeO,ChequeMade,1679,1674,1-0,180+0,C47,49,2025.05.30
Oak,admnoite,1604,1581,0-1,180+0,C30,76,2025.05.30
IjonTichy,ErrareHumanumEst,1596,1766,0-1,60+0,C54,60,2025.05.30
LuigiBot,KINGJarthur,1634,1691,1-0,900+0,B00,65,2025.05.30
Ascencion,highjump,1238,1446,0-1,600+0,B01,48,2025.05.30
Caarreeyy,kobasa,1451,1508,0-1,300+0,A41,84,2025.05.30
JeffreyWebb,rusalka,1783,1264,1-0,300+0,A46,69,2025.05.30
ErrareHumanumEst,IjonTichy,1761,1601,1-0,60+0,C41,57,2025.05.30
hejkal,Hugoclorinda,1810,1777,1-0,900+0,C41,113,2025.05.30
VictoriaBot,HBtime,1893,2144,0-1,900+0,B07,98,2025.05.30
ricardotassinari,NADIMMM,1531,1333,0-1,180+0,C23,56,2025.05.30
KINGJarthur,LuigiBot,1684,1641,1-0,900+0,A00,57,2025.05.30
LWRoad,alkondariee,1424,1590,1-0,180+0,A06,35,2025.05.30
urug,khun,1624,1720,1-0,180+0,C40,85,2025.05.30
IjonTichy,ErrareHumanumEst,1589,1773,1-0,60+0,C55,29,2025.05.30
highjump,Ascencion,1459,1205,0-1,600+0,D00,68,2025.05.30
HBtime,VictoriaBot,2141,1896,1-0,900+0,A00,47,2025.05.30
ChequeMade,JoeO,1682,1671,0-1,180+0,C00,50,2025.05.30
gtboyyy,krell,1817,1638,0-1,180+0,A36,82,2025.05.30
admnoite,Oak,1572,1613,1-0,180+0,A00,57,2025.05.30
forqueray,Patrizia,1178,1550,0-1,180+3,C57,34,2025.05.30
LuigiBot,KINGJarthur,1632,1693,1-0,900+0,C00,63,2025.05.30
ErrareHumanumEst,GeorgeCool,1811,1645,1-0,300+0,C62,31,2025.05.30
JoeO,ChequeMade,1662,1691,1-0,180+0,C47,71,2025.05.30
alkondariee,leolie,1584,1478,1-0,180+0,D01,71,2025.05.30
rusalka,JeffreyWebb,1265,1782,0-1,300+0,B01,66,2025.05.30
ShallowPurple,LWRoad,1640,1428,1-0,300+0,A00,61,2025.05.30
GeorgeCool,ErrareHumanumEst,1650,1806,0-1,180+0,C55,48,2025.05.30
KINGJarthur,LuigiBot,1694,1631,1/2-1/2,900+0,A00,210,2025.05.30
morlok,samdomagala,1414,1491,1-0,180+0,C41,99,2025.05.30
patc,khun,1671,1729,1-0,180+0,A40,91,2025.05.30
guynstpetefl,urug,1698,1614,0-1,180+8,A45,46,2025.05.30
TundraWalker,RookNRoll,1525,1420,0-1,120+12,B38,98,2025.05.23
ChequeMade,JoeO,1700,1653,0-1,180+0,C00,82,2025.05.30
JeffreyWebb,rusalka,1781,1266,1-0,300+0,A48,49,2025.05.30
Rochester,asalman,2150,1793,1-0,180+0,A03,89,2025.05.30
kobasa,alkondariee,1515,1577,0-1,180+0,A09,66,2025.05.30
ErrareHumanumEst,leolie,1804,1480,1-0,180+0,C68,95,2025.05.30
LWRoad,morlok,1437,1405,0-1,180+0,A04,54,2025.05.30
Downtube,Caarreeyy,1689,1454,1-0,300+0,C25,41,2025.05.30
JoeO,ChequeMade,1660,1693,0-1,180+0,C36,54,2025.05.30
rusalka,JeffreyWebb,1267,1780,0-1,300+0,D30,98,2025.05.30
hastrman,Patrizia,1652,1556,1-0,180+5,C22,75,2025.05.30
asalman,zackb,1786,1736,1-0,180+0,C00,103,2025.05.30
kobasa,GeorgeCool,1520,1645,0-1,180+0,A04,46,2025.05.30
theprof,Tabacman,1636,1361,1-0,120+1,B51,69,2025.05.30
Ascencion,highjump,1213,1456,0-1,600+0,D02,45,2025.05.30
guynstpetefl,urug,1692,1620,1-0,180+8,A45,107,2025.05.30
ChequeMade,JoeO,1702,1651,0-1,180+0,C00,36,2025.05.30
Caarreeyy,Downtube,1457,1686,0-1,300+0,A85,64,2025.05.30
khun,Centella,1736,1780,0-1,180+0,B07,63,2025.05.30
VictoriaBot,HBtime,1899,2138,0-1,900+0,B07,50,2025.05.30
leero,burlon,1699,1698,1-0,900+0,C21,59,2025.05.30
HBtime,VictoriaBot,2135,1902,1-0,900+0,A00,43,2025.05.30
VictoriaBot,HBtime,1905,2132,0-1,900+0,B07,92,2025.05.30
samdomagala,WodanM,1497,1601,0-1,180+0,C20,34,2025.05.30
GeorgeCool,kobasa,1640,1525,1-0,180+0,B07,79,2025.05.30
WodanM,samdomagala,1603,1495,1/2-1/2,180+0,D02,117,2025.05.30
theprof,asalman,1719,1796,1-0,180+0,C64,103,2025.05.30
HBtime,VictoriaBot,2145,1892,0-1,900+0,A00,86,2025.05.30
shambhala,ChequeMade,1736,1693,0-1,180+0,C21,54,2025.05.30
Knightsmasher,rugs,2361,1710,1-0,180+0,A13,71,2025.05.30
GriffyJr,HBtime,2086,2155,1-0,900+0,C41,25,2025.05.30
ShallowPurple,khun,1646,1730,0-1,180+0,C40,128,2025.05.30
DimkinB,ErrareHumanumEst,1547,1801,0-1,300+0,D00,134,2025.05.30
claytondfour,forqueray,1615,1179,1-0,180+0,D00,41,2025.05.30
ChequeMade,shambhala,1684,1745,1-0,180+0,B06,105,2025.05.30
patc,lolaner,1660,1801,1-0,180+0,A80,75,2025.05.30
Downtube,Caarreeyy,1683,1460,1-0,300+0,C25,81,2025.05.30
cassiorsi,GeorgeCool,1626,1649,1-0,180+0,A00,51,2025.05.30
astalaveesta,callipygian,1265,1621,0-1,180+0,B01,98,2025.05.30
rugs,konozrout,1712,2060,0-1,300+0,D00,76,2025.05.30
Tabacman,asalman,1667,1791,0-1,180+0,D11,86,2025.05.30
RookNRoll,kobasa,1456,1518,0-1,240+12,A41,94,2025.05.30
MCCapitan,claytondfour,1591,1607,0-1,180+0,D12,66,2025.05.30
callipygian,astalaveesta,1619,1267,1-0,180+0,D00,23,2025.05.30
khun,ShallowPurple,1724,1652,1-0,180+0,C34,85,2025.05.30
makarp,morlok,1497,1411,1-0,180+0,B20,57,2025.05.30
urug,lolaner,1624,1797,0-1,180+0,B06,28,2025.05.30
shambhala,ChequeMade,1738,1691,1-0,180+0,C23,101,2025.05.30
dmgrant,mmjme,1634,1541,1-0,300+0,A21,75,2025.05.30
KnightMeKing,Aromas,1996,2044,1/2-1/2,900+0,A03,174,2025.05.30
HBtime,GriffyJr,2148,2093,1-0,900+0,D04,99,2025.05.30
GeorgeCool,urug,1658,1615,0-1,180+0,C00,78,2025.05.30
theprof,cassiorsi,1730,1615,0-1,180+0,B01,98,2025.05.30
TundraWalker,leero,1524,1387,1-0,120+12,B00,84,2025.05.30
samdomagala,billig,1500,1631,0-1,180+0,C26,74,2025.05.30
morlok,ilicv,1417,1529,0-1,180+0,B01,84,2025.05.30
makarp,patriotscout,1503,1577,0-1,180+0,B00,106,2025.05.30
asalman,Tabacman,1785,1673,1-0,180+0,B23,81,2025.05.30
GriffyJr,HBtime,2083,2158,1-0,900+0,A04,7,2025.05.30
HBtime,VictoriaBot,2171,1879,0-1,900+0,A00,70,2025.05.30
Caarreeyy,Downtube,1464,1679,0-1,300+0,A85,116,2025.05.30
molina,scalaQueen,1772,2191,0-1,60+0,A46,72,2025.05.30
ShallowPurple,khun,1659,1717,0-1,180+0,C40,152,2025.05.30
CeruleanJS,rugs,1962,1699,0-1,300+0,A00,160,2025.05.30
ChequeMade,shambhala,1698,1731,0-1,180+0,B06,46,2025.05.30
urug,GeorgeCool,1622,1651,0-1,180+0,C62,42,2025.05.30
claudiogiraob,samdomagala,1657,1497,1/2-1/2,180+0,C41,84,2025.05.30
VictoriaBot,HBtime,1882,2168,0-1,900+0,B07,50,2025.05.30
HBtime,VictoriaBot,2165,1885,1-0,900+0,A00,81,2025.05.30
shambhala,ChequeMade,1723,1706,1-0,180+0,A06,81,2025.05.30
asalman,theprof,1795,1720,0-1,180+0,C00,140,2025.05.30
WIZARDofOZ,makarp,1530,1511,1-0,180+0,B15,83,2025.05.30
VictoriaBot,HBtime,1888,2162,0-1,900+0,B07,50,2025.05.30
burlon,Svspk,1705,1728,0-1,900+0,B01,58,2025.05.30
HBtime,VictoriaBot,2159,1891,1-0,900+0,A00,83,2025.05.30
GeorgeCool,urug,1643,1630,1-0,180+0,C00,31,2025.05.30
VictoriaBot,HBtime,1894,2156,0-1,900+0,C46,46,2025.05.30
Downtube,ErrareHumanumEst,1676,1804,1/2-1/2,300+0,C28,122,2025.05.30
GriffyJr,HBtime,2090,2149,0-1,900+0,C41,114,2025.05.30
scalaQueen,molina,2190,1773,1-0,60+0,C18,69,2025.05.30
Tabacman,jebakanbatman,1681,1666,0-1,180+0,B38,74,2025.05.30
zackb,khun,1745,1708,0-1,180+0,A00,104,2025.05.30
pertinent,Koosals,1877,1895,0-1,900+0,C00,98,2025.05.30
makarp,WIZARDofOZ,1519,1522,0-1,180+0,B07,74,2025.05.30
ChequeMade,shambhala,1714,1715,0-1,180+0,B01,92,2025.05.30
urug,dominospizza,1637,1675,0-1,180+0,B00,124,2025.05.30
Nunki,rusalka,1150,1261,0-1,120+12,B01,28,2025.05.30
leero,TundraWalker,1366,1536,1-0,120+12,C21,81,2025.05.30
HBtime,GriffyJr,2142,2097,1-0,900+0,D05,135,2025.05.30
rugs,kamenozrout,1702,1974,0-1,300+0,A45,56,2025.05.30
samdomagala,Downtube,1501,1672,0-1,300+0,C00,40,2025.05.30
ErrareHumanumEst,ricardotassinari,1801,1534,1-0,180+0,B01,83,2025.05.30
patriotscout,WIZARDofOZ,1570,1529,1-0,180+0,B07,67,2025.05.30
mmjme,LWRoad,1535,1443,1-0,300+0,B01,53,2025.05.30
shambhala,ChequeMade,1723,1706,0-1,180+0,D55,54,2025.05.30
hejkal,RookNRoll,1465,1448,0-1,120+12,A35,72,2025.05.30
jebakanbatman,urug,1658,1645,1-0,180+0,A15,65,2025.05.30
humma,theprof,1648,1730,1-0,180+0,B22,53,2025.05.30
tuffmom,Troublemixer,1245,1297,0-1,300+0,C24,36,2025.05.30
ilicv,VersaGlobe,1527,1117,1-0,180+0,C00,35,2025.05.30
kobasa,dominospizza,1506,1687,1-0,180+0,A04,71,2025.05.30
Patrizia,hastrman,1545,1663,1-0,180+5,C02,49,2025.05.30
samdomagala,patriotscout,1499,1572,1/2-1/2,180+0,C00,138,2025.05.30
kamenozrout,rugs,1971,1705,1-0,300+0,B07,35,2025.05.30
VersaGlobe,ilicv,1122,1525,0-1,180+0,D20,32,2025.05.30
theprof,humma,1724,1654,1-0,180+0,B10,79,2025.05.30
ChequeMade,shambhala,1697,1732,1-0,180+0,B06,79,2025.05.30
LWRoad,mmjme,1433,1545,1-0,300+0,C44,43,2025.05.30
zackb,asalman,1735,1805,1-0,180+0,A00,83,2025.05.30
LSQUARED,jebakanbatman,1590,1668,1-0,180+0,B27,111,2025.05.30
Aromas,KnightMeKing,2054,1986,0-1,900+0,A85,144,2025.05.30
GriffyJr,HBtime,2088,2151,1-0,900+0,D35,73,2025.05.30
kobasa,zaragoza,1512,1614,0-1,180+0,E61,80,2025.05.30
TheWarden,leero,1666,1371,1-0,300+0,A81,57,2025.05.30
foxone,rusalka,1344,1251,0-1,120+12,A00,0,2025.05.30
rusalka,foxone,1249,1346,1/2-1/2,120+12,C25,74,2025.05.30
ytunde,tuffmom,1692,1246,1-0,300+0,D37,53,2025.05.30
humma,vuje,1659,1821,0-1,180+0,A00,0,2025.05.30
borell,DerrickH,1501,1485,0-1,1200+0,B01,62,2025.05.30
shambhala,ChequeMade,1724,1705,1-0,180+0,A06,87,2025.05.30
urug,vuje,1633,1833,1-0,180+0,C00,105,2025.05.30
asalman,zackb,1798,1742,1-0,180+0,C00,103,2025.05.30
leero,TheWarden,1376,1663,0-1,300+0,C55,94,2025.05.30
theprof,humma,1717,1666,1-0,180+0,B10,99,2025.05.30
DonBlasDeLezo,LWRoad,1420,1441,1-0,300+0,B00,65,2025.05.30
jebakanbatman,MCCapitan,1661,1598,1-0,180+0,A20,75,2025.05.30
ilicv,forqueray,1523,1181,1-0,180+0,C22,65,2025.05.30
saguni,hastrman,1534,1658,0-1,120+12,B01,78,2025.05.30
LuigiBot,Patrizia,1402,1540,0-1,180+5,C26,62,2025.05.30
COMTIBoy,samdomagala,1665,1487,0-1,180+0,C50,48,2025.05.30
tuffmom,ytunde,1247,1691,0-1,300+0,B20,70,2025.05.30
RookNRoll,hejkal,1456,1457,0-1,120+12,A80,114,2025.05.30
rugs,CeruleanJS,1708,1959,0-1,300+0,A41,60,2025.05.30
vuje,inemuri,1673,1597,0-1,120+0,A16,66,2025.05.30
ChequeMade,shambhala,1713,1716,0-1,180+0,C02,86,2025.05.30
zackb,urug,1753,1622,0-1,180+0,A00,54,2025.05.30
kobasa,LorenzoTraldi,1518,1611,0-1,300+0,B08,74,2025.05.30
surrenderdude,theprof,1583,1712,0-1,180+0,A00,138,2025.05.30
TheWarden,leero,1660,1381,1-0,300+0,A43,41,2025.05.30
McFarmer,ilicv,1418,1534,1-0,180+0,A00,89,2025.05.30
leero,TheWarden,1387,1657,0-1,300+0,C21,88,2025.05.30
rusalka,krankenstein,1662,1607,1-0,900+0,A21,23,2025.05.30
ytunde,tuffmom,1690,1248,1-0,300+0,D31,61,2025.05.30
urug,ErrareHumanumEst,1610,1813,1-0,180+0,C65,31,2025.05.30
shambhala,ChequeMade,1724,1705,0-1,180+0,C21,98,2025.05.30
LWRoad,ShallowPurple,1445,1655,0-1,300+0,A04,62,2025.05.30
humma,urug,1659,1617,1-0,180+0,C01,77,2025.05.30
theprof,surrenderdude,1723,1572,0-1,180+0,B00,108,2025.05.30
rugs,kamenozrout,1711,1968,0-1,300+0,A80,62,2025.05.30
QueenofScots,LuigiBot,1387,1628,0-1,900+0,B20,112,2025.05.30
COMTIBoy,ErrareHumanumEst,1653,1825,1-0,180+0,C55,51,2025.05.30
ilicv,McFarmer,1545,1407,0-1,180+0,B06,64,2025.05.30
Tabacman,kapilaero,1674,1649,1-0,180+0,D02,57,2025.05.30
pitagorico,GriffySr,1801,2080,0-1,300+0,A11,14,2025.05.30
gjblargo,Caarreeyy,1431,1473,1-0,300+0,D13,67,2025.05.30
ChequeMade,shambhala,1696,1733,1-0,180+0,B06,57,2025.05.30
tuffmom,Nunki,1242,1156,1-0,300+0,C24,67,2025.05.30
COMTIBoy,kobasa,1648,1523,1-0,180+0,B07,49,2025.05.30
ErrareHumanumEst,ytunde,1820,1695,1-0,180+0,B22,79,2025.05.30
TheWarden,leero,1654,1393,1-0,300+0,A81,63,2025.05.30
surrenderdude,theprof,1577,1718,0-1,180+0,A00,22,2025.05.30
Knightsmasher,Hechessmaster,2360,1831,1-0,180+0,A21,37,2025.05.30
McFarmer,ilicv,1412,1540,0-1,180+0,A00,114,2025.05.30
KnightMeKing,Aromas,1993,2047,0-1,900+0,A03,48,2025.05.30
theprof,lorenzolotto,1724,1812,0-1,180+0,B01,64,2025.05.30
Teobald,LWRoad,1629,1449,1-0,300+0,D20,91,2025.05.30
MIHAILOP,akx,2211,1801,1-0,180+0,A00,125,2025.05.30
CeruleanJS,rugs,1956,1714,1-0,300+0,A40,67,2025.05.30
dominospizza,Tabacman,1696,1665,0-1,180+0,A00,18,2025.05.30
Hechessmaster,Knightsmasher,1836,2359,0-1,180+0,C54,106,2025.05.30
Axerx,humma,1867,1663,1-0,180+0,A07,55,2025.05.30
shambhala,ChequeMade,1725,1704,1-0,180+0,C21,41,2025.05.30
leero,kobasa,1404,1517,0-1,600+1,C34,110,2025.05.30
ErrareHumanumEst,patc,1786,1548,0-1,60+0,B22,78,2025.05.30
dominospizza,GussieFinkNottle,1699,1571,1/2-1/2,180+0,A00,126,2025.05.30
ytunde,uloseiwin,1685,1764,1-0,180+0,D31,25,2025.05.30
ChequeMade,shambhala,1712,1717,0-1,180+0,B06,66,2025.05.30
forqueray,TheWarden,1166,1669,1-0,300+0,C47,135,2025.05.30
LiKeAsToNe,stealthbomber,1699,1523,1-0,180+0,C30,89,2025.05.30
lorenzolotto,theprof,1806,1730,1-0,180+0,A04,127,2025.05.30
Anselmus,wopa,1453,1347,0-1,120+12,C31,72,2025.05.30
humma,Axerx,1667,1863,0-1,180+0,B33,38,2025.05.30
akx,MIHAILOP,1802,2210,0-1,180+0,A40,78,2025.05.30
gjblargo,scalaQueen,1433,1827,0-1,180+0,D10,34,2025.05.30
uloseiwin,ytunde,1774,1675,0-1,180+0,A00,130,2025.05.30
hastrman,Nunki,1657,1157,1-0,120+12,C47,53,2025.05.30
FIRECAPTAIN,ErrareHumanumEst,1490,1818,0-1,180+0,D32,90,2025.05.30
hejkal,RookNRoll,1465,1448,0-1,120+12,A36,116,2025.05.30
rugs,kamenozrout,1717,1965,0-1,300+0,D00,66,2025.05.30
FreeMind,ShallowPurple,1952,1658,1-0,600+0,C50,121,2025.05.30
shambhala,ChequeMade,1725,1704,0-1,180+0,C21,100,2025.05.30
gron,gjblargo,1556,1438,1-0,300+0,D43,67,2025.05.30
foko,borell,1618,1507,1-0,900+0,B07,43,2025.05.30
GussieFinkNottle,dominospizza,1568,1702,1/2-1/2,180+0,B00,120,2025.05.30
simongriffin,krankenstein,1608,1607,1/2-1/2,900+0,C41,152,2025.05.30
